question,context,our_answer_wo_context,our_answer_w_context
"Besides spectrum of activity and chemical structure, how can protein synthesis be classified?","Antibacterial antibiotics are commonly classified based on their mechanism of action, chemical structure, or spectrum of activity. Most target bacterial functions or growth processes. Those that target the bacterial cell wall (penicillins and cephalosporins) or the cell membrane (polymyxins), or interfere with essential bacterial enzymes (rifamycins, lipiarmycins, quinolones, and sulfonamides) have bactericidal activities. Those that target protein synthesis (macrolides, lincosamides and tetracyclines) are usually bacteriostatic (with the exception of bactericidal aminoglycosides). Further categorization is based on their target specificity. ""Narrow-spectrum"" antibacterial antibiotics target specific types of bacteria, such as Gram-negative or Gram-positive bacteria, whereas broad-spectrum antibiotics affect a wide range of bacteria. Following a 40-year hiatus in discovering new classes of antibacterial compounds, four new classes of antibacterial antibiotics have been brought into clinical use in the late 2000s and early 2010s: cyclic lipopeptides (such as daptomycin), glycylcyclines (such as tigecycline), oxazolidinones (such as linezolid), and lipiarmycins (such as fidaxomicin).","Post-translational modification, gene expression, and codon usage.",Target specificity.
What is recommended by the EPA for cultivating a garden to enrich the soil?,"Alternatives to pesticides are available and include methods of cultivation, use of biological pest controls (such as pheromones and microbial pesticides), genetic engineering, and methods of interfering with insect breeding. Application of composted yard waste has also been used as a way of controlling pests. These methods are becoming increasingly popular and often are safer than traditional chemical pesticides. In addition, EPA is registering reduced-risk conventional pesticides in increasing numbers.","EPA recommends:

- Use compost
- Mulch regularly
- Cover crops
- Crop rotation
- Use organic amendments",I do not know.
In what year was the Archivist of the US hired?,"In March 2006, it was revealed by the Archivist of the United States in a public hearing that a memorandum of understanding between NARA and various government agencies existed to ""reclassify"", i.e., withdraw from public access, certain documents in the name of national security, and to do so in a manner such that researchers would not be likely to discover the process (the U.S. reclassification program). An audit indicated that more than one third withdrawn since 1999 did not contain sensitive information. The program was originally scheduled to end in 2007.",Archivist of the US: 1873,I do not know.
How old was Virgil when he died?,"The Aeneid is widely considered Virgil's finest work and one of the most important poems in the history of western literature. Virgil worked on the Aeneid during the last eleven years of his life (29–19 BC), commissioned, according to Propertius, by Augustus. The epic poem consists of 12 books in dactylic hexameter verse which describe the journey of Aeneas, a warrior fleeing the sack of Troy, to Italy, his battle with the Italian prince Turnus, and the foundation of a city from which Rome would emerge. The Aeneid's first six books describe the journey of Aeneas from Troy to Rome. Virgil made use of several models in the composition of his epic; Homer, the preeminent author of classical epic, is everywhere present, but Virgil also makes special use of the Latin poet Ennius and the Hellenistic poet Apollonius of Rhodes among the various other writers to which he alludes. Although the Aeneid casts itself firmly into the epic mode, it often seeks to expand the genre by including elements of other genres such as tragedy and aetiological poetry. Ancient commentators noted that Virgil seems to divide the Aeneid into two sections based on the poetry of Homer; the first six books were viewed as employing the Odyssey as a model while the last six were connected to the Iliad.",Virgil died at 49.,Virgil died at 50 years old.
 What is the Chinese Broadcasting Corporation called?,"The Nippon Hōsō Kyōkai (NHK, the Japan Broadcasting Corporation) began conducting research to ""unlock the fundamental mechanism of video and sound interactions with the five human senses"" in 1964, after the Tokyo Olympics. NHK set out to create an HDTV system that ended up scoring much higher in subjective tests than NTSC's previously dubbed ""HDTV"". This new system, NHK Color, created in 1972, included 1125 lines, a 5:3 aspect ratio and 60 Hz refresh rate. The Society of Motion Picture and Television Engineers (SMPTE), headed by Charles Ginsburg, became the testing and study authority for HDTV technology in the international theater. SMPTE would test HDTV systems from different companies from every conceivable perspective, but the problem of combining the different formats plagued the technology for many years.",China Central Television (CCTV),I do not know.
Where does the term gymnosperm originate?,"The flowering plants (angiosperms), also known as Angiospermae or Magnoliophyta, are the most diverse group of land plants, with about 350,000 species. Like gymnosperms, angiosperms are seed-producing plants; they are distinguished from gymnosperms by characteristics including flowers, endosperm within the seeds, and the production of fruits that contain the seeds. Etymologically, angiosperm means a plant that produces seeds within an enclosure, in other words, a fruiting plant. The term ""angiosperm"" comes from the Greek composite word (angeion-, ""case"" or ""casing"", and sperma, ""seed"") meaning ""enclosed seeds"", after the enclosed condition of the seeds.","From Greek words ""gymnos"" and ""sperma"".",I do not know.
what has heavily influenced structuralists and postmodern theories?,"Sociocultural anthropology has been heavily influenced by structuralist and postmodern theories, as well as a shift toward the analysis of modern societies. During the 1970s and 1990s, there was an epistemological shift away from the positivist traditions that had largely informed the discipline.[page needed] During this shift, enduring questions about the nature and production of knowledge came to occupy a central place in cultural and social anthropology. In contrast, archaeology and biological anthropology remained largely positivist. Due to this difference in epistemology, the four sub-fields of anthropology have lacked cohesion over the last several decades.","1. Structuralism: Saussure, 1916.
2. Postmodernism: Foucault, 1969.
3. Marxism: Marx, 1848.
4. Phenomenology: Husserl, 1913.
5. Psychoanalysis: Freud, 1895.
6. Semiotics: Peirce, 1866.
7. Poststructuralism: Derrida, 1967.
8. Postcolonialism: Fanon, ",Structuralist and postmodern theories.
"What pest has destroyed many of the 15,000 ash trees?","Ann Arbor's ""Tree Town"" nickname stems from the dense forestation of its parks and residential areas. The city contains more than 50,000 trees along its streets and an equal number in parks. In recent years, the emerald ash borer has destroyed many of the city's approximately 10,500 ash trees. The city contains 157 municipal parks ranging from small neighborhood green spots to large recreation areas. Several large city parks and a university park border sections of the Huron River. Fuller Recreation Area, near the University Hospital complex, contains sports fields, pedestrian and bike paths, and swimming pools. The Nichols Arboretum, owned by the University of Michigan, is a 123-acre (50 ha) arboretum that contains hundreds of plant and tree species. It is on the city's east side, near the university's Central Campus. Located across the Huron River just beyond the university's North Campus is the university's Matthaei Botanical Gardens, which contains 300 acres of gardens and a large tropical conservatory.",Hemlock Woolly Adelgid,Emerald Ash Borer.
Where isn't the home of the Center for Catalysis and Surface Science?,"Northwestern is home to the Center for Interdisciplinary Exploration and Research in Astrophysics, Northwestern Institute for Complex Systems, Nanoscale Science and Engineering Center, Materials Research Center, Institute for Policy Research, International Institute for Nanotechnology, Center for Catalysis and Surface Science, Buffet Center for International and Comparative Studies, the Initiative for Sustainability and Energy at Northwestern and the Argonne/Northwestern Solar Energy Research Center and other centers for interdisciplinary research.",I couldn't find any information about the Center for Catalysis and Surface Science.,Everywhere except Northwestern.
What came out in 1935?,"The term high definition once described a series of television systems originating from August 1936; however, these systems were only high definition when compared to earlier systems that were based on mechanical systems with as few as 30 lines of resolution. The ongoing competition between companies and nations to create true ""HDTV"" spanned the entire 20th century, as each new system became more HD than the last.In the beginning of the 21st century, this race has continued with 4k, 5k and current 8K systems.",What would you like to know about 1935?,I do not know.
What type of relationship did the pope have with suburbicarian sees?,"Since 1962, the cardinal bishops have only a titular relationship with the suburbicarian sees, with no powers of governance over them. Each see has its own bishop, with the exception of Ostia, in which the Cardinal Vicar of the see of Rome is apostolic administrator.",Papal provision.,Titular only.
Before what year was Cubism considered the least innovative?,"The most innovative period of Cubism was before 1914. After World War I, with the support given by the dealer Léonce Rosenberg, Cubism returned as a central issue for artists, and continued as such until the mid-1920s when its avant-garde status was rendered questionable by the emergence of geometric abstraction and Surrealism in Paris. Many Cubists, including Picasso, Braque, Gris, Léger, Gleizes, and Metzinger, while developing other styles, returned periodically to Cubism, even well after 1925. Cubism reemerged during the 1920s and the 1930s in the work of the American Stuart Davis and the Englishman Ben Nicholson. In France, however, Cubism experienced a decline beginning in about 1925. Léonce Rosenberg exhibited not only the artists stranded by Kahnweiler’s exile but others including Laurens, Lipchitz, Metzinger, Gleizes, Csaky, Herbin and Severini. In 1918 Rosenberg presented a series of Cubist exhibitions at his Galerie de l’Effort Moderne in Paris. Attempts were made by Louis Vauxcelles to claim that Cubism was dead, but these exhibitions, along with a well-organized Cubist show at the 1920 Salon des Indépendants and a revival of the Salon de la Section d’Or in the same year, demonstrated it was still alive.",1908,Mid-1920s.
What comic strip was ended by Osamu Tezuka?,"The modern era of comics in Japan began after World War II, propelled by the success of the serialized comics of the prolific Osamu Tezuka and the comic strip Sazae-san. Genres and audiences diversified over the following decades. Stories are usually first serialized in magazines which are often hundreds of pages thick and may over a dozen stories; they are later compiled in tankōbon-format books. At the turn of the 20th and 21st centuries, nearly a quarter of all printed material in Japan was comics. translations became extremely popular in foreign markets—in some cases equaling or surpassing the sales of domestic comics.",Astro Boy,I do not know.
What term describes a mixture of atoms that include at least some metal?,"The term alloy is used to describe a mixture of atoms in which the primary constituent is a metal. The primary metal is called the base, the matrix, or the solvent. The secondary constituents are often called solutes. If there is a mixture of only two types of atoms, not counting impurities, such as a copper-nickel alloy, then it is called a binary alloy. If there are three types of atoms forming the mixture, such as iron, nickel and chromium, then it is called a ternary alloy. An alloy with four constituents is a quaternary alloy, while a five-part alloy is termed a quinary alloy. Because the percentage of each constituent can be varied, with any mixture the entire range of possible variations is called a system. In this respect, all of the various forms of an alloy containing only two constituents, like iron and carbon, is called a binary system, while all of the alloy combinations possible with a ternary alloy, such as alloys of iron, carbon and chromium, is called a ternary system.",Alloy,Alloy.
Who was fired for not raising grant money?,"In September 2014, Professor Stefan Grimm, of the Department of Medicine, was found dead after being threatened with dismissal for failure to raise enough grant money. The College made its first public announcement of his death on 4 December 2014. Grimm's last email accused his employers of bullying by demanding that he should get grants worth at least £200,000 per year. His last email was viewed more than 100,000 times in the first four days after it was posted. The College has announced an internal inquiry into Stefan Grimm's death. The inquest on his death has not yet reported.",I don't have enough information to provide an answer.,Professor Stefan Grimm.
Are truly unaspirated voiceless consonants common or rare?,"True aspirated voiced consonants, as opposed to murmured (breathy-voice) consonants such as the [bʱ], [dʱ], [ɡʱ] that are common in the languages of India, are extremely rare. They have been documented in Kelabit Taa, and the Kx'a languages. Reported aspirated voiced stops, affricates and clicks are [b͡pʰ, d͡tʰ, d͡tsʰ, d͡tʃʰ, ɡ͡kʰ, ɢ͡qʰ, ᶢʘʰ, ᶢǀʰ, ᶢǁʰ, ᶢǃʰ, ᶢǂʰ].",Rare.,Rare.
What did older operating systems use to mark control code?,"Older operating systems such as TOPS-10, along with CP/M, tracked file length only in units of disk blocks and used Control-Z (SUB) to mark the end of the actual text in the file. For this reason, EOF, or end-of-file, was used colloquially and conventionally as a three-letter acronym for Control-Z instead of SUBstitute. The end-of-text code (ETX), also known as Control-C, was inappropriate for a variety of reasons, while using Z as the control code to end a file is analogous to it ending the alphabet and serves as a very convenient mnemonic aid. A historically common and still prevalent convention uses the ETX code convention to interrupt and halt a program via an input data stream, usually from a keyboard.",Control-D,Control-Z (SUB).
When did non-regular broadcasts start in Europe?,"The first regular broadcasts started on January 1, 2004 when the Belgian company Euro1080 launched the HD1 channel with the traditional Vienna New Year's Concert. Test transmissions had been active since the IBC exhibition in September 2003, but the New Year's Day broadcast marked the official launch of the HD1 channel, and the official start of direct-to-home HDTV in Europe.","BBC Light Programme, 1932",I do not know.
Who reasserted the earliest influence of temporal subjects?,"The earlier influence of temporal rulers, notably the French kings, reasserted itself through the influence of cardinals of certain nationalities or politically significant movements. Traditions even developed entitling certain monarchs, including those of Austria, Spain, and Portugal, to nominate one of their trusted clerical subjects to be created cardinal, a so-called crown-cardinal.[citation needed]",Ancient Greeks.,French kings.
What is one of the 11 official languages of South Africa?,"Up to 1990, English, German and Afrikaans were official languages. Long before Namibia's independence from South Africa, SWAPO was of the opinion that the country should become officially monolingual, choosing this approach in contrast to that of its neighbour South Africa (which granted all 11 of its major languages official status), which was seen by them as ""a deliberate policy of ethnolinguistic fragmentation."" Consequently, SWAPO instituted English as the sole official language of Namibia though only about 3% of the population speaks it as a home language. Its implementation is focused on the civil service, education and the broadcasting system. Some other languages have received semi-official recognition by being allowed as medium of instruction in primary schools. It is expected of private schools to follow the same policy as state schools, and ""English language"" is a compulsory subject. As in other postcolonial African societies, the push for monolingual instruction and policy has resulted in a high rate of school drop-outs and of individuals whose academic competence in any language is low.",Zulu,I do not know.
When did the Royal Institute lose its charter?,"It was granted its Royal Charter in 1837 under King William IV. Supplemental Charters of 1887, 1909 and 1925 were replaced by a single Charter in 1971, and there have been minor amendments since then.",I couldn't find the information about the Royal Institute losing its charter.,I do not know.
"Outside of employment, what is the other lesser issue that affirmative action focuses on?","Affirmative action in the United States tends to focus on issues such as education and employment, specifically granting special consideration to racial minorities, Native Americans, and women who have been historically excluded groups in America. Reports have shown that minorities and women have faced discrimination in schools and businesses for many years and this discrimination produced unfair advantages for whites and males in education and employment. The impetus toward affirmative action is redressing the disadvantages associated with past and present discrimination. Further impetus is a desire to ensure public institutions, such as universities, hospitals, and police forces, are more representative of the populations they serve.",Education and Healthcare.,Education.
How many Macs did Apple sell worldwide during the 2008 holiday season?,"From 2001 to 2008, Mac sales increased continuously on an annual basis. Apple reported worldwide sales of 3.36 million Macs during the 2009 holiday season. As of Mid-2011, the Macintosh continues to enjoy rapid market share increase in the US, growing from 7.3% of all computer shipments in 2010 to 9.3% in 2011. According to IDC's quarterly PC tracker, globally, in 3rd quarter of 2014, Apple's PC market share increased 5.7 percent year over year, with record sales of 5.5 million units. Apple now sits in the number five spot, with a global market share of about 6% during 2014, behind Lenovo, HP, Dell and Acer.",I couldn't find the exact number of Macs sold during the 2008 holiday season.,I do not know.
What industry caused St. John's economy to boom in the 1990's?,"St. John's, and the province as a whole, was gravely affected in the 1990s by the collapse of the Northern cod fishery, which had been the driving force of the provincial economy for hundreds of years. After a decade of high unemployment rates and depopulation, the city's proximity to the Hibernia, Terra Nova and White Rose oil fields has led to an economic boom that has spurred population growth and commercial development. As a result, the St. John's area now accounts for about half of the province's economic output.",Telecommunications,Oil industry.
What is one uniquely African art form?,"Barbershop music is one of several uniquely American art forms. The earliest reports of this style of a cappella music involved African Americans. The earliest documented quartets all began in barbershops. In 1938, the first formal men's barbershop organization was formed, known as the Society for the Preservation and Encouragement of Barber Shop Quartet Singing in America (S.P.E.B.S.Q.S.A), and in 2004 rebranded itself and officially changed its public name to the Barbershop Harmony Society (BHS). Today the BHS has over 22,000 members in approximately 800 chapters across the United States, and the barbershop style has spread around the world with organizations in many other countries. The Barbershop Harmony Society provides a highly organized competition structure for a cappella quartets and choruses singing in the barbershop style.",Kente cloth weaving.,Barbershop music.
Who feels marginalized by Canadian society?,"Some multiracial individuals feel marginalized by U.S. society. For example, when applying to schools or for a job, or when taking standardized tests, Americans are sometimes asked to check boxes corresponding to race or ethnicity. Typically, about five race choices are given, with the instruction to ""check only one."" While some surveys offer an ""other"" box, this choice groups together individuals of many different multiracial types (ex: European Americans/African-Americans are grouped with Asian/Native American Indians).","Indigenous peoples, LGBTQ+, racial minorities, women, low-income individuals, people with disabilities, immigrants, refugees, and seniors.",I do not know.
PABs are intended for what type of environment?,"PCBs intended for extreme environments often have a conformal coating, which is applied by dipping or spraying after the components have been soldered. The coat prevents corrosion and leakage currents or shorting due to condensation. The earliest conformal coats were wax; modern conformal coats are usually dips of dilute solutions of silicone rubber, polyurethane, acrylic, or epoxy. Another technique for applying a conformal coating is for plastic to be sputtered onto the PCB in a vacuum chamber. The chief disadvantage of conformal coatings is that servicing of the board is rendered extremely difficult.",Portable Absorbent Bags.,Extreme environments.
What dialect is also known as the middle dialect?,"The northern group consists of the keskmurre or central dialect that is also the basis for the standard language, the läänemurre or western dialect, roughly corresponding to Läänemaa and Pärnumaa, the saarte murre (islands') dialect of Saaremaa and Hiiumaa and the idamurre or eastern dialect on the northwestern shore of Lake Peipsi.",Standard American English,Keskmurre
What does not have an advantage in applications where color reproduction is important?,"Although inefficient, incandescent light bulbs have an advantage in applications where accurate color reproduction is important, since the continuous blackbody spectrum emitted from an incandescent light-bulb filament yields near-perfect color rendition, with a color rendering index of 100 (the best possible). White-balancing is still required to avoid too ""warm"" or ""cool"" colors, but this is a simple process that requires only the color temperature in Kelvin as input for modern, digital visual reproduction equipment such as video or still cameras unless it is completely automated. The color-rendering performance of incandescent lights cannot be matched by LEDs or fluorescent lights, although they can offer satisfactory performance for non-critical applications such as home lighting. White-balancing such lights is therefore more complicated, requiring additional adjustments to reduce for example green-magenta color casts, and even when properly white-balanced, the color reproduction will not be perfect.",Black and white.,LEDs and fluorescent lights.
Who held that Judaism demands an application of the bible through human experience?,"Hirsch held the opinion that Judaism demands an application of Torah thought to the entire realm of human experience, including the secular disciplines. His approach was termed the Torah im Derech Eretz approach, or ""neo-Orthodoxy"". While insisting on strict adherence to Jewish beliefs and practices, he held that Jews should attempt to engage and influence the modern world, and encouraged those secular studies compatible with Torah thought. This pattern of religious and secular involvement has been evident at many times in Jewish history. Scholars[who?] believe it was characteristic of the Jews in Babylon during the Amoraic and Geonic periods, and likewise in early medieval Spain, shown by their engagement with both Muslim and Christian society. It appeared as the traditional response to cultural and scientific innovation.",Maimonides.,Hirsch.
What wasn't one of the reasons early colonists left England to seek religious freedom in America?,"The court noted that it ""is a matter of history that this very practice of establishing governmentally composed prayers for religious services was one of the reasons which caused many of our early colonists to leave England and seek religious freedom in America."" The lone dissenter, Justice Potter Stewart, objected to the court's embrace of the ""wall of separation"" metaphor: ""I think that the Court's task, in this as in all areas of constitutional adjudication, is not responsibly aided by the uncritical invocation of metaphors like the ""wall of separation,"" a phrase nowhere to be found in the Constitution.""",Economic opportunities.,It wasn't explicitly stated.
What color is the DEU uniform if it isn't green?,"Although the Canadian Armed Forces are a single service, there are three similar but distinctive environmental uniforms (DEUs): navy blue (which is actually black) for the navy, rifle green for the army, and light blue for the air force. CAF members in operational occupations generally wear the DEU to which their occupation ""belongs."" CAF members in non-operational occupations (the ""purple"" trades) are allocated a uniform according to the ""distribution"" of their branch within the CAF, association of the branch with one of the former services, and the individual's initial preference. Therefore, on any given day, in any given CAF unit, all three coloured uniforms may be seen.",DEU is the German national football team.,Black.
What predicts the changes in group theory?,"Likewise, group theory helps predict the changes in physical properties that occur when a material undergoes a phase transition, for example, from a cubic to a tetrahedral crystalline form. An example is ferroelectric materials, where the change from a paraelectric to a ferroelectric state occurs at the Curie temperature and is related to a change from the high-symmetry paraelectric state to the lower symmetry ferroelectic state, accompanied by a so-called soft phonon mode, a vibrational lattice mode that goes to zero frequency at the transition.","Group theory is predicted by:

1. David Hilbert (1900)
2. Emmy Noether (1918)
3. Emmy Noether's theorem",Group theory predicts changes.
What was Algernon Sidney considered a threat to?,"As the century wore on, the factions slowly began to adopt more coherent political tendencies as the interests of their power bases began to diverge. The Whig party's initial base of support from the great aristocratic families, widened to include the emerging industrial interests and wealthy merchants. As well as championing constitutional monarchy with strict limits on the monarch's power, the Whigs adamantly opposed a Catholic king as a threat to liberty, and believed in extending toleration to nonconformist Protestants, or dissenters. A major influence on the Whigs were the liberal political ideas of John Locke, and the concepts of universal rights employed by Locke and Algernon Sidney.",English monarchy.,Liberty.
"What didn't blast Neptune and Uranus's atmosphere with radiation, aiding in creation?","The formation of the ice giants, Neptune and Uranus, has proven difficult to model precisely. Current models suggest that the matter density in the outer regions of the Solar System was too low to account for the formation of such large bodies from the traditionally accepted method of core accretion, and various hypotheses have been advanced to explain their formation. One is that the ice giants were not formed by core accretion but from instabilities within the original protoplanetary disc and later had their atmospheres blasted away by radiation from a nearby massive OB star.",Gravitational forces.,A nearby massive OB star.
What are found more often than amphibians?,"Although reptiles are less abundant and diverse than amphibians, a number of snakes are conspicuous members of the fauna. One of the largest is the non-venomous black rat snake (Elaphe obsoleta obsoleta), while the common garter snake (Thamnophis sirtalis) is among the smallest but most abundant. The American copperhead (Agkistrodon contortrix) and the timber rattler (Crotalus horridus) are venomous pit vipers. There are few lizards, but the broad-headed skink (Eumeces laticeps), at up to 13 in (33 cm) in length, and an excellent climber and swimmer, is one of the largest and most spectacular in appearance and action. The most common turtle is the eastern box turtle (Terrapene carolina carolina), which is found in both upland and lowland forests in the central and southern Appalachians. Prominent among aquatic species is the large common snapping turtle (Chelydra serpentina), which occurs throughout the Appalachians.",Insects.,Reptiles.
What did the Reinvent the Toilet Challenge investigate?,"Since the launch of the ""Reinvent the Toilet Challenge"", more than a dozen research teams, mainly at universities in the U.S., Europe, India, China and South Africa, have received grants to develop innovative on-site and off-site waste treatment solutions for the urban poor. The grants were in the order of 400,000 USD for their first phase, followed by typically 1-3 million USD for their second phase; many of them investigated resource recovery or processing technologies for excreta or fecal sludge.",Reinvent the Toilet Challenge (2014),Resource recovery or processing technologies.
How much percent of total waste does paper waste account for in Europe?,"Paper waste accounts for up to 40% of total waste produced in the United States each year, which adds up to 71.6 million tons of paper waste per year in the United States alone. The average office worker in the US prints 31 pages every day. Americans also use on the order of 16 billion paper cups per year.",Paper waste: 30% of total waste in Europe.,I do not know.
When did Goodman begin partnering with shell companies?,"Goodman's business strategy involved having his various magazines and comic books published by a number of corporations all operating out of the same office and with the same staff. One of these shell companies through which Timely Comics was published was named Marvel Comics by at least Marvel Mystery Comics #55 (May 1944). As well, some comics' covers, such as All Surprise Comics #12 (Winter 1946–47), were labeled ""A Marvel Magazine"" many years before Goodman would formally adopt the name in 1961.",I don't have information on Goodman partnering with shell companies.,I do not know.
What can be used to make glass less dense?,"Glass has the ability to refract, reflect, and transmit light following geometrical optics, without scattering it. It is used in the manufacture of lenses and windows. Common glass has a refraction index around 1.5. This may be modified by adding low-density materials such as boron, which lowers the index of refraction (see crown glass), or increased (to as much as 1.8) with high-density materials such as (classically) lead oxide (see flint glass and lead glass), or in modern uses, less toxic oxides of zirconium, titanium, or barium. These high-index glasses (inaccurately known as ""crystal"" when used in glass vessels) cause more chromatic dispersion of light, and are prized for their diamond-like optical properties.","Additives, such as feldspar, quartz, or metal oxides.",Boron.
What kind of error was found in Twilight Princess for SD?,"Following the discovery of a buffer overflow vulnerability in the Wii version of Twilight Princess, an exploit known as the ""Twilight Hack"" was developed, allowing the execution of custom code from a Secure Digital (SD) card on the console. A properly designed save file would cause the game to load unsigned code, which could include Executable and Linkable Format (ELF) programs and homebrew Wii applications. Versions 3.3 and 3.4 of the Wii Menu prevented copying exploited save files onto the console until circumvention methods were discovered, and version 4.0 of the Wii Menu patched the vulnerability.","Glitches, freezing issues.",Buffer overflow vulnerability.
"In the Armenian language, tenuis and unaspirated stops are what?","In many languages, such as Armenian, Korean, Thai, Indo-Aryan languages, Dravidian languages, Icelandic, Ancient Greek, and the varieties of Chinese, tenuis and aspirated consonants are phonemic. Unaspirated consonants like [p˭ s˭] and aspirated consonants like [pʰ ʰp sʰ] are separate phonemes, and words are distinguished by whether they have one or the other.",Tenuis and unaspirated stops are voiced and voiceless stops.,tenuis and unaspirated stops.
 Who was the journalist refused to be a language planner?,"Estonian language planners such as Ado Grenzstein (a journalist active in Estonia in the 1870s–90s) tried to use formation ex nihilo, Urschöpfung; i.e. they created new words out of nothing.",I couldn't find any information about a journalist refused to be a language planner.,I do not know.
What does Bermuda maintain in the United States?,"There are few accredited diplomats in Bermuda. The United States maintains the largest diplomatic mission in Bermuda, comprising both the United States Consulate and the US Customs and Border Protection Services at the L.F. Wade International Airport. The current US Consul General is Robert Settje, who took office in August 2012. The United States is Bermuda's largest trading partner (providing over 71% of total imports, 85% of tourist visitors, and an estimated $163 billion of US capital in the Bermuda insurance/re-insurance industry), and an estimated 5% of Bermuda residents are US citizens, representing 14% of all foreign-born persons. The American diplomatic presence is an important element in the Bermuda political landscape.",Bermuda maintains a diplomatic mission in the United States as the U.S. Embassy in Bermuda is actually in Washington D.C.,The US Consulate.
What happened after Indonesia cut its pesticide use in half?,"Some evidence shows that alternatives to pesticides can be equally effective as the use of chemicals. For example, Sweden has halved its use of pesticides with hardly any reduction in crops.[unreliable source?] In Indonesia, farmers have reduced pesticide use on rice fields by 65% and experienced a 15% crop increase.[unreliable source?] A study of Maize fields in northern Florida found that the application of composted yard waste with high carbon to nitrogen ratio to agricultural fields was highly effective at reducing the population of plant-parasitic nematodes and increasing crop yield, with yield increases ranging from 10% to 212%; the observed effects were long-term, often not appearing until the third season of the study.",I couldn't find any information about Indonesia cutting its pesticide use in half.,Farmers experienced a 15% crop increase.
What is necessary to stabilize the high oxidation state of zinc(l) compounds?,"Zinc(I) compounds are rare, and require bulky ligands to stabilize the low oxidation state. Most zinc(I) compounds contain formally the [Zn2]2+ core, which is analogous to the [Hg2]2+ dimeric cation present in mercury(I) compounds. The diamagnetic nature of the ion confirms its dimeric structure. The first zinc(I) compound containing the Zn—Zn bond, (η5-C5Me5)2Zn2, is also the first dimetallocene. The [Zn2]2+ ion rapidly disproportionates into zinc metal and zinc(II), and has only been obtained as a yellow glass formed by cooling a solution of metallic zinc in molten ZnCl2.",Ligands.,Bulky ligands.
What banned standards of translation came with the 19th century?,"The 19th century brought new standards of accuracy and style. In regard to accuracy, observes J.M. Cohen, the policy became ""the text, the whole text, and nothing but the text"", except for any bawdy passages and the addition of copious explanatory footnotes. In regard to style, the Victorians' aim, achieved through far-reaching metaphrase (literality) or pseudo-metaphrase, was to constantly remind readers that they were reading a foreign classic. An exception was the outstanding translation in this period, Edward FitzGerald's Rubaiyat of Omar Khayyam (1859), which achieved its Oriental flavor largely by using Persian names and discreet Biblical echoes and actually drew little of its material from the Persian original.",Lingua Franca Nova,Bawdy passages.
What part of Antarctica is currently in the Northern Hemispher?,"During the Cambrian period, Gondwana had a mild climate. West Antarctica was partially in the Northern Hemisphere, and during this period large amounts of sandstones, limestones and shales were deposited. East Antarctica was at the equator, where sea floor invertebrates and trilobites flourished in the tropical seas. By the start of the Devonian period (416 Ma), Gondwana was in more southern latitudes and the climate was cooler, though fossils of land plants are known from this time. Sand and silts were laid down in what is now the Ellsworth, Horlick and Pensacola Mountains. Glaciation began at the end of the Devonian period (360 Ma), as Gondwana became centered on the South Pole and the climate cooled, though flora remained. During the Permian period, the land became dominated by seed plants such as Glossopteris, a pteridosperm which grew in swamps. Over time these swamps became deposits of coal in the Transantarctic Mountains. Towards the end of the Permian period, continued warming led to a dry, hot climate over much of Gondwana.","None, it's entirely in the Southern Hemisphere.",West Antarctica.
What was not occurring when the Dominican Order came into being in the Middle Ages?,"The Dominican Order came into being in the Middle Ages at a time when religion began to be contemplated in a new way. Men of God were no longer expected to stay behind the walls of a cloister. Instead, they travelled among the people, taking as their examples the apostles of the primitive Church. Out of this ideal emerged two orders of mendicant friars: one, the Friars Minor, was led by Francis of Assisi; the other, the Friars Preachers, by Dominic of Guzman. Like his contemporary, Francis, Dominic saw the need for a new type of organization, and the quick growth of the Dominicans and Franciscans during their first century of existence confirms that the orders of mendicant friars met a need.",The Dominican Order came into being in 1216.,Religion was not being contemplated in a monastic way.
How many people spoke the Low Prussian dialect in East Prussia?,"The population of the province in 1900 was 1,996,626 people, with a religious makeup of 1,698,465 Protestants, 269,196 Roman Catholics, and 13,877 Jews. The Low Prussian dialect predominated in East Prussia, although High Prussian was spoken in Warmia. The numbers of Masurians, Kursenieki and Prussian Lithuanians decreased over time due to the process of Germanization. The Polish-speaking population concentrated in the south of the province (Masuria and Warmia) and all German geographic atlases at the start of 20th century showed the southern part of East Prussia as Polish with the number of Poles estimated at the time to be 300,000. Kursenieki inhabited the areas around the Curonian lagoon, while Lithuanian-speaking Prussians concentrated in the northeast in (Lithuania Minor). The Old Prussian ethnic group became completely Germanized over time and the Old Prussian language died out in the 18th century.",Approximately 1 million.,I do not know.
What are foundations also allowed to be?,"Some NPOs may also be a charity or service organization; they may be organized as a profit corporation or as a trust, a cooperative, or they exist informally. A very similar type of organization termed a supporting organization operates like a foundation, but they are more complicated to administer, hold more favorable tax status and are restricted in the public charities they support. Their mole is not to be successful in terms of wealth, but in terms of giving value to the groups of people they administer to.","Foundations can also be:

1. Corporate
2. Community
3. Public
4. Private
5. Non-profit
6. Charitable","A profit corporation, trust, cooperative, or informal organization."
