context,question,golden_answer,our_answer_without_context,our_answer_with_context,entropy_without_context,entropy_with_context,clean_entropy_without_context,clean_entropy_with_context,token_sar_without_context,token_sar_with_context,cotype_is_correct_without_context,cotype_is_correct_with_context,chatgpt_is_correct_without_context,chatgpt_is_correct_with_context,is_lack_of_info_without_context,is_lack_of_info_with_context
"New York Yankees 2017 New York Yankees season Established in 1901 Based in New York City since 1903 Team logo Cap insignia Major league affiliations American League ( 1901 -- present ) East Division ( 1969 -- present ) Current uniform Retired numbers 5 6 7 8 8 9 10 15 16 20 23 32 37 42 42 44 46 49 51 Colors Midnight navy blue , gray , white Name New York Yankees ( 1913 -- present ) New York Highlanders ( 1903 -- 1912 ) Baltimore Orioles ( 1901 -- 1902 ) Other nicknames The Bronx Bombers , The Yanks , The Pinstripers , The Bronx Zoo , The Evil Empire , Murderer 's Row Ballpark Yankee Stadium ( II ) ( 2009 -- present ) Yankee Stadium ( I ) ( 1923 -- 1973 , 1976 -- 2008 ) Shea Stadium ( 1974 -- 1975 ) Polo Grounds ( IV ) ( 1913 -- 1922 ) a.k.a. Brush Stadium ( 1913 -- 1919 ) Hilltop Park ( 1903 -- 1912 ) Oriole Park ( 1901 -- 1902 ) Major league titles World Series titles ( 27 ) 1923 1927 1928 1932 1936 1937 1938 1939 1941 1943 1947 1949 1950 1951 1952 1953 1956 1958 1961 1962 1977 1978 1998 1999 2000 2009 AL Pennants ( 40 ) 1921 1922 1923 1926 1927 1928 1932 1936 1937 1938 1939 1941 1942 1943 1947 1949 1950 1951 1952 1953 1955 1956 1957 1958 1960 1961 1962 1963 1964 1976 1977 1978 1981 1998 1999 2000 2001 2003 2009 East Division titles ( 18 ) 1976 1977 1978 1980 1981 1998 1999 2000 2001 2002 2003 2005 2006 2009 2011 2012 Wild card berths ( 6 ) 1995 1997 2007 2015 2017 Front office Owner ( s ) Yankee Global Enterprises ( Hal and Hank Steinbrenner , co-chairmen ) Manager Vacant General Manager Brian Cashman President of Baseball Operations Randy Levine",when was the last time new york yankees won the world series,2009,The New York Yankees last won the World Series in 2009.,The New York Yankees last won the World Series in 2009.,0.1223,0.1821,0.065,0.1578,0.0331,0.0703,1.0,1.0,1.0,1.0,0,0
"`` When We '' Single by Tank from the album Savage Released June 16 , 2017 ( 2017 - 06 - 16 ) Genre R&B Length 5 : 09 Label Atlantic Songwriter ( s ) Durrell Babbs Carl McCormick Johnnie Newt Producer ( s ) Cardiak Tank singles chronology `` # BDAY '' ( 2016 ) `` When We '' ( 2017 ) `` # BDAY '' ( 2016 ) `` When We '' ( 2017 )",who wrote the song when we by tank,Durrell Babbs Carl McCormick Johnnie Newt,"I couldn't find any information on a song called ""When We"" by Tank.","The song ""When We"" by Tank was written by Durrell Babbs, Carl McCormick, and Johnnie Newt.",0.5773,0.3045,0.7301,0.2079,0.2064,0.1155,0.0,1.0,0.0,1.0,0,0
"The First Pan-African Conference was held in London from 23 to 25 July 1900 ( just prior to the Paris Exhibition of 1900 `` in order to allow tourists of African descent to attend both events '' ) . Organized primarily by the Trinidadian barrister Henry Sylvester Williams , it took place in Westminster Town Hall ( now Caxton Hall ) and was attended by 37 delegates and about 10 other participants and observers from Africa , the West Indies , the US and the UK , including Samuel Coleridge Taylor ( the youngest delegate ) , John Alcindor , Dadabhai Naoroji , John Archer , Henry Francis Downing , and W.E.B. Du Bois , with Bishop Alexander Walters of the AME Zion Church taking the chair . Du Bois played a leading role , drafting a letter ( `` Address to the Nations of the World '' ) to European leaders appealing to them to struggle against racism , to grant colonies in Africa and the West Indies the right to self - government and demanding political and other rights for African Americans .",which figure in the pan-african movement organized the first pan-african conference in 1900 apex,Henry Sylvester Williams,I can't verify who organized the first Pan-African conference in 1900.,Henry Sylvester Williams,0.8215,0.1648,0.6788,0.1648,0.2632,0.0101,0.0,1.0,0.0,1.0,0,0
"2012 NCAA Division I Men 's Basketball Tournament 2012 Final Four logo Season 2011 -- 12 Teams 68 Finals site Mercedes - Benz Superdome New Orleans , Louisiana Champions Kentucky Wildcats ( 8th title , 11th title game , 15th Final Four ) Runner - up Kansas Jayhawks ( 9th title game , 14th Final Four ) Semifinalists Louisville Cardinals ( vacated ) ( 9th Final Four ) Ohio State Buckeyes ( 11th Final Four ) Winning coach John Calipari ( 1st title ) MOP Anthony Davis ( Kentucky ) NCAA Division I Men 's Tournaments `` 2011 2013 ''",who won the ncaa basketball championship in 2012,Kentucky Wildcats,Kentucky won the 2012 NCAA Men's Division I Basketball Championship.,Kentucky Wildcats,0.3915,0.5175,0.3655,0.5175,0.1468,0.082,1.0,1.0,1.0,1.0,0,0
"Epcot International Food & Wine Festival Begins August 31 , 2017 Ends November 13 , 2017 Frequency Yearly Venue Epcot Location ( s ) Bay Lake , Florida Country United States Inaugurated 1995 Activity Wine , Food Tasting , Social Events Sponsor Chase Website Official website",when does the food and wine festival start at epcot,"August 31 , 2017",I don't have the most current information on the Epcot Food and Wine Festival schedule.,"August 31, 2017",0.8595,0.2728,0.7682,0.2622,0.4288,0.1057,0.0,1.0,0.0,1.0,1,1
"Dancing with the Stars Genre Reality competition Based on Strictly Come Dancing Directed by Alex Rudzinski Presented by Tom Bergeron Erin Andrews Brooke Burke - Charvet Samantha Harris Lisa Canning Judges Len Goodman Carrie Ann Inaba Bruno Tonioli Julianne Hough Narrated by Alan Dedicoat Country of origin United States Original language ( s ) English No. of seasons 25 No. of episodes 422 Production Executive producer ( s ) Ashley Edens - Shaffer Joe Sungkur Rob Wade Location ( s ) CBS Television City Los Angeles , California Running time 40 -- 86 minutes Production company ( s ) BBC Worldwide Productions Endemol Shine North America Release Original network ABC Picture format 720p ( HDTV ) Audio format 5.1 surround sound Original release June 1 , 2005 ( 2005 - 06 - 01 ) -- present External links Website abc.go.com/shows/dancing-with-the-stars",who are the producers of dancing with the stars,Ashley Edens - Shaffer Joe Sungkur Rob Wade,"The producers of Dancing with the Stars include:

1. BBC Studios (UK version)
2. BBC Studios (US version)
3. BBC Studios (Australian version)
4. FremantleMedia (US version)
5. BBC Studios (Australian version)
6. BBC Studios (New Zealand version)","The producers of Dancing with the Stars are Ashley Edens-Shaffer, Joe Sungkur, and Rob Wade.",1.332,0.2849,1.4724,0.2739,0.4779,0.0922,0.0,1.0,0.0,1.0,0,0
"In American architecture , painted ladies are Victorian and Edwardian houses and buildings painted in three or more colors that embellish or enhance their architectural details . The term was first used for San Francisco Victorian houses by writers Elizabeth Pomada and Michael Larsen in their 1978 book Painted Ladies - San Francisco 's Resplendent Victorians .",what is the significance of the painted ladies,Victorian and Edwardian houses and buildings painted in three or more colors that embellish or enhance their architectural details,"The Painted Ladies are a group of three Victorian-era houses in San Francisco, California, that are known for their brightly colored, ornate facades. They are considered one of the city's most iconic landmarks and are a popular tourist attraction.",The significance of the Painted Ladies is that they are Victorian and Edwardian houses in San Francisco that were painted in three or more colors to embellish or enhance their architectural details.,0.8322,0.3627,0.825,0.3148,0.4481,0.136,0.5,1.0,0.5,1.0,0,0
"A headright is a legal grant of land to settlers . Headrights are most notable for their role in the expansion of the thirteen British colonies in North America ; the Virginia Company of London gave headrights to settlers , and the Plymouth Company followed suit . The headright system was used in several colonies , including Maryland , Georgia , North Carolina and South Carolina . Most headrights were for 1 to 1,000 acres ( 4.0 km ) of land , and were given to anyone willing to cross the Atlantic Ocean and help populate the colonies . Headrights were granted to anyone who would pay for the transportation costs of a laborer or indentured servant . These land grants consisted of 50 acres ( 200,000 m ) for someone newly moving to the area and 100 acres ( 0.40 km ) for people previously living in the area . By giving the land to the landowning masters the indentured servants had little or no chance to procure their own land . This kept many colonials poor and led to strife between the poor servants and wealthy landowners .",what was a result of the headright system on colonial society,kept many colonials poor and led to strife between the poor servants and wealthy landowners,"The headright system in colonial America led to several results, including:

1. Land speculation and inflation: The headright system encouraged speculation and inflation in land prices, as speculators bought up large tracts of land in anticipation of future profits.
2. Unequal land distribution: The system favored wealthy landowners, as they were able to accumulate large tracts of land, leading to unequal distribution of land among the colonists.
3. Conflict with Native Americans: The headright system led to conflicts",The headright system led to many colonials being poor due to the limited land they received.,0.9558,1.0849,1.0809,1.19,0.426,0.5312,0.5,0.5,0.5,0.5,0,0
"`` Mary , Did You Know ? '' is a Christmas song with lyrics written by Mark Lowry and music written by Buddy Greene . It was originally recorded by Christian recording artist Michael English on his self - titled debut solo album in 1991 ( English and Lowry were both members of the Gaither Vocal Band at the time ) . It reached No. 6 on CCM Magazine 's AC Chart . Lowry would record the song several times himself , most notably with the Gaither Vocal Band on their 1998 Christmas album Still the Greatest Story Ever Told .",who wrote the lyrics to mary did you know,Mark Lowry,"The song ""Mary, Did You Know?"" was written by Mark Lowry and Buddy Greene.",Mark Lowry and Buddy Greene.,0.2948,0.5285,0.2132,0.293,0.0734,0.3812,1.0,0.5,0.5,0.5,0,0
"The following is a list of the highest mountains in the State of Washington . Washington is one of only four states to have a high point reaching above 14,000 feet ( on Mount Rainier ) , the other states being Alaska , California , and Colorado . The four highest mountains in Washington are potentially active stratovolcanos . Prior to its eruption in 1980 , Mount St. Helens was the fifth - highest mountain in Washington at 9,677 ft ( 2,950 m ) , but it is now reduced to 8,365 ft ( 2,550 m ) , making it the 52nd highest peak in the state ) .",what is the highest mountain in the state of washington,Mount Rainier,"The highest mountain in the state of Washington is Mount Rainier, with an elevation of 14,411 feet (4,392 meters).",The highest mountain in the state of Washington is Mount Rainier.,0.1954,0.2478,0.099,0.144,0.0466,0.0897,1.0,1.0,1.0,1.0,0,0
"Middle cerebral artery Outer surface of cerebral hemisphere , showing areas supplied by cerebral arteries . ( Pink is region supplied by middle cerebral artery . ) The arterial circle and arteries of the brain . The middle cerebral arteries ( top of figure ) arise from the internal carotid arteries . Details Source internal carotid arteries Branches anterolateral central arteries Vein middle cerebral vein Supplies cerebrum Identifiers Latin arteria cerebri media Dorlands / Elsevier a_61 / 12153812 TA A12. 2.07. 046 FMA 50079 Anatomical terminology ( edit on Wikidata )",which part of the cerebral hemisphere is supplied by the middle cerebral artery,cerebrum,"The middle cerebral artery supplies the lateral surface of the cerebral hemisphere, specifically the frontal, parietal, and temporal lobes.",The middle cerebral artery supplies the outer surface of the cerebral hemisphere.,0.5468,0.401,0.5618,0.3387,0.2056,0.137,1.0,0.5,0.5,0.5,0,0
"Africa Area 30,370,000 km ( 11,730,000 sq mi ) , 2nd Population 1,225,080,510 ( 2016 , 2nd ) Population density 36.4 / km ( 94 / sq mi ) GDP ( nominal ) US $3.3 trillion ( 2017 , 5th ) Demonym African Countries 54 ( and 2 disputed ) Dependencies External ( 3 ) ( show ) Mayotte Réunion Saint Helena , Ascension and Tristan da Cunha Internal ( 4 ) ( show ) Canary Islands Ceuta Madeira Melilla Largest cities List of cities in Africa Lagos Cairo Kinshasa Johannesburg Khartoum Dar es Salaam Alexandria Abidjan Algiers Kano Casablanca Ibadan Nairobi Addis Ababa Abuja Accra",what are the two largest cities in africa,Abidjan Algiers,"The two largest cities in Africa are:

1. Lagos, Nigeria
2. Cairo, Egypt","The two largest cities in Africa are:

1. Lagos
2. Cairo",0.2019,0.3223,0.074,0.1809,0.0638,0.1434,0.0,0.5,0.0,0.0,0,0
"The whole nine yards or the full nine yards is a colloquial American phrase meaning `` everything , the whole lot '' or , when used as an adjective , `` all the way '' , as in , `` The Army came out and gave us the whole nine yards on how they use space systems . '' Its origin is unknown and has been described by Yale University librarian Fred R. Shapiro as `` the most prominent etymological riddle of our time '' .",where does the saying the whole 9 yards come from,Its origin is unknown,"The phrase ""the whole nine yards"" is believed to have originated in the United States during World War II. It is thought to have come from the practice of military personnel in the US Army Air Forces during the 1940s.","The origin of the phrase ""the whole 9 yards"" is unknown.",0.973,0.1788,1.0836,0.18,0.4664,0.0798,0.5,1.0,0.0,1.0,0,1
"Succession to the British throne is determined by descent , gender ( for people born before October 2011 ) , legitimacy , and religion . Under common law , the Crown is inherited by a sovereign 's children or by a childless sovereign 's nearest collateral line . The Bill of Rights 1689 and the Act of Settlement 1701 , restrict succession to the throne to the legitimate Protestant descendants of Sophia of Hanover that are in `` communion with the Church of England '' . Spouses of Roman Catholics were disqualified from 1689 until the law was amended in 2015 . Protestant descendants of those excluded for being Roman Catholics are eligible .",who decides who is the next king of england,common law,"In the United Kingdom, the line of succession to the British throne is determined by the Act of Settlement of 1701 and the Succession to the Crown Act of 2013. The rules of succession are as follows:

1. The monarch's eldest son or daughter inherits the throne upon their death or abdication.
2. If the monarch has no children, the throne passes to their siblings and their children.
3. If the monarch has no siblings or nieces and nephews, the",The monarch's children or a childless monarch's nearest collateral line.,0.3175,1.1248,0.323,0.8721,0.1218,0.5378,0.5,0.5,0.5,0.0,0,0
"The Board of Trade is a British government department concerned with commerce and industry , currently within the Department for International Trade . Its full title is The Lords of the Committee of the Privy Council appointed for the consideration of all matters relating to Trade and Foreign Plantations , but is commonly known as the Board of Trade , and formerly known as the Lords of Trade and Plantations or Lords of Trade , is a committee of the Privy Council of the United Kingdom . It was first established as a temporary committee of England 's Privy Council to advise on colonial ( plantation ) questions in the early 17th century , when these settlements were initially forming . The Board would evolve gradually into a government department with considerable power and a diverse range of functions , including regulation of domestic and foreign commerce , the development , implementation and interpretation of the Acts of Trade and Navigation , and the review and acceptance of legislation passed in the colonies . Between 1696 and 1782 the Board of Trade , in partnership with the various secretaries of state over that time , held responsible for colonial affairs , particularly in British America . The Home Secretary held colonial responsibility until 1801 when the Secretary of State for War and the Colonies was established .",why did parliament create the board of trade in 1696,"It was first established as a temporary committee of England 's Privy Council to advise on colonial ( plantation ) questions in the early 17th century , when these settlements were initially forming",The Board of Trade was created in 1696 by King William III and Queen Mary II of England.,The Board of Trade was created in 1696 based on the need for a centralized government department to advise on colonial (plantation) questions as England's settlements were initially forming.,0.6042,0.699,0.4447,0.681,0.1488,0.3485,0.5,1.0,0.0,1.0,0,0
"Billy Bob 's Texas The World 's Largest Honky Tonk Billy Bob 's Texas dance floor Address 2520 Rodeo Plaza Location Fort Worth , Texas Coordinates 32 ° 47 ′ 29 '' N 97 ° 20 ′ 53 '' W ﻿ / ﻿ 32.79139 ° N 97.34806 ° W ﻿ / 32.79139 ; - 97.34806 Coordinates : 32 ° 47 ′ 29 '' N 97 ° 20 ′ 53 '' W ﻿ / ﻿ 32.79139 ° N 97.34806 ° W ﻿ / 32.79139 ; - 97.34806 Owner Billy Bob 's Texas , LLC Type Nightclub Genre ( s ) Country Capacity 6,000 + Opened 1 April 1981 ( 1981 - 04 - 01 ) Website billybobstexas.com",who owns billy bob's in fort worth,"Billy Bob 's Texas , LLC","I couldn't find any information on a well-known business called ""Billy Bob's"" in Fort Worth.","Billy Bob's Texas, LLC",0.5511,0.2461,0.6533,0.215,0.1852,0.035,0.0,1.0,0.0,1.0,0,0
"macOS Screenshot of the macOS High Sierra desktop Developer Apple , Inc . Written in C++ Objective - C Swift OS family Macintosh , Unix Working state Current Source model Closed source ( with open source components ) Initial release March 24 , 2001 ; 17 years ago ( 2001 - 03 - 24 ) Latest release 10.13. 4 ( 17E202 ) ( April 24 , 2018 ; 36 days ago ( 2018 - 04 - 24 ) ) ( ± ) Latest preview 10.13. 5 beta 5 ( 17F70a ) ( May 14 , 2018 ; 16 days ago ( 2018 - 05 - 14 ) ) ( ± ) Marketing target Personal computing Available in 34 languages List of languages As of macOS Sierra : Arabic , Catalan , Croatian , Chinese ( Simplified ) , Chinese ( Traditional ) , Czech , Danish , Dutch , English , Finnish , French , German , Greek , Hebrew , Hungarian , Indonesian , Italian , Japanese , Korean , Malay , Norwegian , Polish , Portuguese ( Brazil ) , Portuguese ( Portugal ) , Romanian , Russian , Slovak , Spanish ( Mexico ) , Spanish ( Spain ) , Swedish , Thai , Turkish , Ukrainian , Vietnamese Update method Mac App Store ( 10.8 + ) Software Update ( 10.0 -- 10.7 ) Platforms x86 - 64 ( 10.4. 7 - present ) IA - 32 ( 10.4. 4 -- 10.6. 8 ; discontinued ) PowerPC ( 10.0 -- 10.5. 8 ; discontinued ) Kernel type Hybrid ( XNU ) Default user interface Graphical ( Aqua ) License Commercial software , proprietary software Preceded by Classic Mac OS Official website www.apple.com/macos Support status Supported",who created the mac operating system and when,"Apple , Inc . Written in C++ Objective - C Swift OS family Macintosh , Unix Working state Current Source model Closed source ( with open source components ) Initial release March 24 , 2001",The Mac operating system was created by Apple Inc.,Apple Inc.,0.6698,0.5095,0.6987,0.5546,0.1763,0.1389,1.0,1.0,0.5,0.5,0,0
"Madison Nicole Ziegler ( born September 30 , 2002 ) , better known as Maddie Ziegler , is an American dancer , actress and model . She first became known for appearing in Lifetime 's reality show Dance Moms from 2011 ( at age 8 ) until 2016 . From 2014 to 2017 , she gained wider fame for starring in six music videos by Sia , including `` Chandelier '' and `` Elastic Heart '' , which cumulatively have attracted more than 3.5 billion views on YouTube . Ziegler has appeared in films , television and concerts , and has modeled on magazine covers and in advertisements for Capezio , Ralph Lauren and Target , among other brands . She was included by Time magazine on its list of the `` 30 most influential teens '' in each of 2015 , 2016 and 2017 .",who is the dancer in the sia videos,Maddie Ziegler,I can't identify the dancer in the Sia videos without more information.,Maddie Ziegler,1.0915,0.142,1.0689,0.1108,0.5403,0.0106,0.0,1.0,0.0,1.0,0,0
"Paruresis ( / ˌpɑːrəˈriːsɪs / PAR - ə - REE - sis ) is a type of phobia in which the sufferer is unable to urinate in the real or imaginary presence of others , such as in a public restroom . The analogous condition that affects bowel movement is called parcopresis .",what is the fear of public restrooms called,"Paruresis ( / ˌpɑːrəˈriːsɪs / PAR - ə - REE - sis ) is a type of phobia in which the sufferer is unable to urinate in the real or imaginary presence of others , such as in a public restroom . The analogous condition that affects bowel movement is called parcopresis",The fear of public restrooms is called Lethophobia,Paruresis,1.3413,1.013,1.426,1.3503,0.4637,0.2193,0.0,1.0,0.0,1.0,1,"Paruresis, also known as ""shy bladder syndrome,"" is a type of social anxiety disorder where an individual finds it difficult or impossible to urinate in public restrooms or in the presence of others. This condition can vary in severity, from mild discomfort to significant distress, potentially impacting one's daily life and activities. Some people with paruresis may only experience symptoms in certain situations or environments, while others may find it challenging to urinate anywhere other than at home.

The causes of paruresis are not entirely understood, but it's generally believed that psychological and emotional factors play a significant role. Negative experiences or embarrassment in public restrooms, fear of being judged or overheard, or generalized social anxiety can contribute to its development.

Treatment options for paruresis may include cognitive-behavioral therapy (CBT), gradual exposure therapy to help desensitize individuals to the anxiety-provoking situations, and relaxation techniques. In some cases, medications like anti-anxiety drugs or antidepressants may be prescribed to help manage symptoms. Support groups and online communities can also provide valuable support and resources for those affected by this condition."
"The Land of Nod ( Hebrew : ארץ נוד ‬ , eretz - Nod ) is a place mentioned in the Book of Genesis of the Hebrew Bible , located `` on the east of Eden '' ( qidmat - ' Eden ) , where Cain was exiled by God after Cain had murdered his brother Abel . According to Genesis 4 : 16 :",who lived in the land of nod east of eden,Cain,"I couldn't find any information about a ""land of nod east of Eden.""",Cain.,0.8857,0.9821,0.8425,1.2364,0.4468,0.6645,0.0,1.0,0.0,1.0,0,0
"Chicago Cubs 2018 Chicago Cubs season Established in 1876 Team logo Cap insignia Major league affiliations National League ( 1876 -- present ) Central Division ( 1994 -- present ) East Division ( 1969 -- 1993 ) Current uniform Retired numbers 10 14 23 26 31 31 42 Colors Blue , red , white Name Chicago Cubs ( 1903 -- present ) Chicago Orphans ( 1898 -- 1902 ) Chicago Colts ( 1890 -- 1897 ) Chicago White Stockings ( NL ) ( 1876 -- 1889 ) Other nicknames The Cubbies , the North Siders , the North Side Nine , the Boys in Blue , the Lovable Losers , the Little Bears , the Blue Bears , the Baby Bears Ballpark Wrigley Field ( 1916 -- present ) a.k.a. Cubs Park ( 1920 -- 1926 ) a.k.a. Weeghman Park ( 1914 -- 1920 ) West Side Park ( II ) ( 1893 -- 1915 ) South Side Park ( 1891 -- 1893 ) West Side Park ( I ) ( 1885 -- 1891 ) Lakefront Park ( II ) ( 1883 -- 1884 ) Lakefront Park ( I ) ( 1878 -- 1882 ) 23rd Street Grounds ( 1876 -- 1877 ) Major league titles World Series titles ( 3 ) 1907 1908 2016 National League Pennants ( 17 ) 1876 1880 1881 1882 1885 1886 1906 1907 1908 1910 1918 1929 1932 1935 1938 1945 2016 Central Division titles ( 5 ) 2003 2007 2008 2016 2017 East Division titles ( 2 ) 1984 1989 Wild card berths ( 2 ) 1998 2015 Front office Owner ( s ) Thomas S. Ricketts , Laura Ricketts , Pete Ricketts , Todd Ricketts , Joe Ricketts Manager Joe Maddon General Manager Jed Hoyer President of Baseball Operations Theo Epstein",when was last time chicago cubs won world series,2016,The Chicago Cubs last won the World Series in 2016.,The Chicago Cubs last won the World Series in 2016.,0.1226,0.1506,0.068,0.1205,0.0162,0.0384,1.0,1.0,1.0,1.0,0,0
"There have been 52 total women in the United States Senate since its establishment in 1789 . The first woman who served as a U.S. Senator , Rebecca Latimer Felton , represented Georgia for a single day in 1922 . The first woman elected to the Senate was Hattie Caraway from Arkansas in 1932 . Fifteen of the women who have served were appointed ; seven of those were appointed to succeed their deceased husbands . Currently , since the swearing - in of Cindy Hyde - Smith of Mississippi on April 9 , 2018 , the 115th United States Congress has 23 female Senators out of 100 ( 23 % ) , three more than both the 113th and 114th Congresses , and an all - time high .",who was the first woman to be elected to the senate,Hattie Caraway,"The first woman to be elected to the United States Senate was Rebecca Latimer Felton, who was elected on November 21, 1922, to fill a vacant seat in the U.S. Senate from the state of Georgia.",Hattie Caraway,0.435,0.2582,0.2802,0.253,0.1068,0.0097,0.0,1.0,0.5,1.0,0,"Hattie Caraway was an important figure in American politics, known for being the first woman to be elected to the United States Senate. Born on February 1, 1878, in Tennessee, she became a senator from Arkansas. Initially, she was appointed to the Senate in 1931 to fill the vacancy left by her late husband, Senator Thaddeus Caraway. In 1932, she became the first woman to win election to the Senate, serving until 1945.

Her career in the Senate was notable not only for her election as the first female senator but also for her advocacy for New Deal policies and support for women's rights. Her tenure helped pave the way for future generations of women in politics. After her service, Caraway continued to be involved in public service until her death on December 21, 1950."
"Battle of the Coral Sea Part of the Pacific Theater of World War II The American aircraft carrier USS Lexington explodes on 8 May 1942 , several hours after being damaged by a Japanese carrier air attack . Date 4 -- 8 May 1942 Location Coral Sea , between Australia , New Guinea , and the Solomon Islands Result Tactical Japanese victory Strategic Allied victory Belligerents United States Australia Japan Commanders and leaders Chester W. Nimitz Frank J. Fletcher Thomas C. Kinkaid Aubrey Fitch George Brett Douglas MacArthur John Crace Isoroku Yamamoto Shigeyoshi Inoue Takeo Takagi Kiyohide Shima Aritomo Gotō Chūichi Hara Sadamichi Kajioka Strength 2 fleet aircraft carriers , 9 cruisers , 13 destroyers , 2 oilers , 1 seaplane tender , 128 carrier aircraft . 2 fleet aircraft carriers , 1 light carrier , 9 cruisers , 15 destroyers , 5 minesweepers , 2 minelayers , 2 submarine chasers , 3 gunboats , 1 oil tanker , 1 seaplane tender , 12 transports , 127 carrier aircraft . Casualties and losses 1 fleet carrier scuttled , 1 destroyer sunk , 1 oiler sunk , 1 fleet carrier damaged , 69 aircraft destroyed . 656 killed 1 light carrier sunk , 1 destroyer sunk , 3 small warships sunk , 1 fleet carrier damaged , 1 destroyer damaged , 1 smaller warship damaged , 1 transport damaged , 92 aircraft destroyed . 966 killed",where was the battle of coral sea map,"Coral Sea , between Australia , New Guinea , and the Solomon Islands","The Battle of the Coral Sea took place in the Coral Sea, which is located between Australia and Papua New Guinea.","The Battle of the Coral Sea was fought between Australia, New Guinea, and the Solomon Islands.",0.4503,0.4293,0.2908,0.4545,0.2171,0.1676,1.0,1.0,0.5,1.0,0,0
"`` I Do n't Want to Miss a Thing '' Single by Aerosmith from the album Armageddon : The Album B - side `` Animal Crackers '' `` Taste of India '' Released August 18 , 1998 ( US ) August 31 , 1998 ( UK ) Format Cassette single CD single Recorded Genre Hard rock power ballad Length 4 : 58 Label Columbia Hollywood Epic Songwriter ( s ) Diane Warren Producer ( s ) Matt Serletic Aerosmith singles chronology `` Full Circle '' ( 1998 ) `` I Do n't Want to Miss a Thing '' ( 1998 ) `` What Kind of Love Are You On '' ( 1998 ) Audio sample file help",when did i don't wanna miss a thing come out,"August 18 , 1998","""I Don't Want to Miss a Thing"" by Aerosmith was released in 1998.","August 18, 1998",0.2106,0.3795,0.2035,0.4213,0.036,0.1271,0.5,1.0,0.5,1.0,0,1
"In population genetics , fixation is the change in a gene pool from a situation where there exists at least two variants of a particular gene ( allele ) in a given population to a situation where only one of the alleles remains . In the absence of mutation or heterozygote advantage , any allele must eventually be lost completely from the population or fixed ( permanently established at 100 % frequency in the population ) . Whether a gene will ultimately be lost or fixed is dependent on selection coefficients and chance fluctuations in allelic proportions . Fixation can refer to a gene in general or particular nucleotide position in the DNA chain ( locus ) .",what is the complete loss of an allele called,fixation,"The complete loss of an allele is called a ""null allele"".",Complete loss of an allele.,1.0629,0.5137,0.6357,0.4823,0.826,0.2506,0.0,0.5,0.0,0.0,0,0
"The North American fur trade was the industry and activities related to the acquisition , trade , exchange , and sale of animal furs in North America . Aboriginal peoples in Canada and Native Americans in the United States of different regions traded among themselves in the Pre-Columbian Era , but Europeans participated in the trade beginning from the time of their arrival in the New World and extended its reach to Europe . The French started trading in the 16th century , the English established trading posts on Hudson Bay in present - day Canada in the 17th century , and the Dutch had trade by the same time in New Netherland . The 19th - century North American fur trade , when the industry was at its peak of economic importance , involved the development of elaborate trade networks and companies .",when did the fur trade began in canada,17th century,The fur trade in Canada began in the early 17th century.,The fur trade in Canada began in the 16th century.,0.3728,0.3968,0.3018,0.1667,0.2671,0.1692,1.0,0.5,1.0,0.5,0,0
"The Resident Genre Medical drama Created by Amy Holden Jones Hayley Schore Roshan Sethi Starring Matt Czuchry Emily VanCamp Manish Dayal Shaunette Renée Wilson Bruce Greenwood Moran Atias Merrin Dungey Melina Kanakaredes Composer ( s ) Jon Ehrlich Country of origin United States Original language ( s ) English No. of seasons No. of episodes 9 ( list of episodes ) Production Executive producer ( s ) Amy Holden Jones Antoine Fuqua Phillip Noyce Oly Obst David Boorstein Todd Harthan Location ( s ) Atlanta , Georgia Camera setup Single - camera Running time 43 minutes Production company ( s ) Fuqua Films 3 Arts Entertainment Up Island Films Nickels Productions 20th Century Fox Television Distributor 20th Television Release Original network Fox Original release January 21 , 2018 ( 2018 - 01 - 21 ) -- present ( present )",who stars in the new tv show the resident,Matt Czuchry Emily VanCamp Manish Dayal Shaunette Renée Wilson Bruce Greenwood Moran Atias Merrin Dungey Melina Kanakaredes,"The main cast of the TV show ""The Resident"" includes:

* Matt Czuchry as Dr. Conrad Hawkins
* Emily VanCamp as Dr. Nicolette Nevin
* Manish Dayal as Dr. Devon Pravesh
* Janina Gavankar as Dr. Asher Moore
* Shaunette Renée Wilson as Dr. Mina Okafor
* Emily Beecham as Dr. Nia Jones
* Malcolm-Jamal Warner as Dr. AJ","The stars of the TV show ""The Resident"" are:

1. Matt Czuchry
2. Emily VanCamp
3. Manish Dayal
4. Shaunette Renée Wilson
5. Bruce Greenwood
6. Merrin Dungey
7. Melina Kanakaredes",0.8794,0.1484,1.2593,0.1365,0.312,0.0688,0.5,1.0,0.5,0.5,0,0
